dealer_id,sale_date,model,payment_type,sale_price_brl
D006,2026-02-08,Brisa,Financiamento,133577.10
D006,2026-02-02,Touro,Consórcio,217257.74
D006,2026-02-07,Lume,Financiamento,98244.02
D006,2026-02-07,Lume,Financiamento,95390.65
D006,2026-02-05,Lume,Financiamento,103291.17
D006,2026-02-07,Touro,TED,211093.09
D006,2026-02-08,Lume,Financiamento,99293.80
D006,2026-02-07,Brisa,Financiamento,142777.61
D006,2026-02-08,Serra,Financiamento,165089.66
D006,2026-02-05,Lume,Financiamento,92498.88
D006,2026-02-04,Lume,Financiamento,98751.63
D006,2026-02-07,Serra,Consórcio,153661.70
D006,2026-02-06,Serra,Financiamento,146875.59
D006,2026-02-05,Brisa,Financiamento,134361.74
D006,2026-02-06,Touro,Financiamento,210627.43
D006,2026-02-06,Touro,Financiamento,251458.55
D006,2026-02-05,Brisa,Financiamento,134147.41
D006,2026-02-06,Serra,Financiamento,144288.15
D006,2026-02-08,Serra,PIX,144997.81
D006,2026-02-05,Serra,PIX,145864.33
D006,2026-02-06,Lume,PIX,95858.67
D006,2026-02-04,Touro,Financiamento,239754.84
D006,2026-02-04,Brisa,PIX,127903.67
D006,2026-02-06,Atlas,Financiamento,235229.53
D006,2026-02-05,Lume,Financiamento,96315.15
D006,2026-02-08,Serra,Financiamento,151052.12
D006,2026-02-02,Lume,PIX,89069.69
D006,2026-02-07,Brisa,Cartão Crédito,133003.47
D006,2026-02-08,Brisa,Financiamento,142213.29
D006,2026-02-02,Serra,PIX,144100.94
D006,2026-02-02,Atlas,Financiamento,228505.29
D006,2026-02-03,Eon,PIX,205249.49
D006,2026-02-05,Atlas,Financiamento,226452.34
D006,2026-02-03,Serra,TED,153581.53
D006,2026-02-07,Serra,Consórcio,150214.68
D006,2026-02-06,Touro,Financiamento,224483.79
D006,2026-02-04,Brisa,PIX,129480.98
D006,2026-02-07,Serra,Financiamento,151422.12
D006,2026-02-07,Touro,Financiamento,225073.27
D006,2026-02-04,Serra,Consórcio,139912.50
D006,2026-02-03,Serra,Financiamento,148353.99
D006,2026-02-04,Serra,Financiamento,159404.19
D006,2026-02-07,Serra,Financiamento,143200.10
D006,2026-02-08,Lume,PIX,96707.66
D006,2026-02-02,Lume,Financiamento,95407.87
D006,2026-02-04,Lume,PIX,100983.99
D006,2026-02-06,Lume,Financiamento,91890.99
D006,2026-02-07,Serra,TED,147006.30
D006,2026-02-06,Atlas,Financiamento,225217.38
D006,2026-02-05,Brisa,Consórcio,151552.31
D006,2026-02-06,Lume,Financiamento,93936.93
D006,2026-02-08,Touro,Financiamento,247299.03
D006,2026-02-07,Brisa,Financiamento,144275.09
D006,2026-02-07,Eon,Financiamento,203220.42
D006,2026-02-03,Eon,Financiamento,206981.69
D006,2026-02-04,Serra,PIX,147049.69
D006,2026-02-04,Serra,Consórcio,134738.13
D006,2026-02-06,Lume,Consórcio,100182.25
D006,2026-02-05,Atlas,Financiamento,219327.39
D006,2026-02-06,Lume,TED,88553.24
D006,2026-02-05,Serra,Financiamento,144332.14
D006,2026-02-07,Brisa,Financiamento,131484.26
D006,2026-02-06,Serra,Financiamento,153573.58
D006,2026-02-02,Serra,Financiamento,158356.57
D006,2026-02-06,Lume,PIX,101806.29
D006,2026-02-08,Touro,Financiamento,238290.36
D006,2026-02-06,Atlas,Financiamento,236282.70
D006,2026-02-02,Brisa,Financiamento,137342.38
D006,2026-02-02,Lume,Consórcio,101905.44
D006,2026-02-02,Lume,Financiamento,94825.93
D006,2026-02-08,Lume,Financiamento,100057.06
D006,2026-02-08,Brisa,Financiamento,127469.95
D006,2026-02-02,Brisa,Financiamento,131398.23
D006,2026-02-08,Lume,PIX,97136.98
D006,2026-02-05,Brisa,Financiamento,139785.38
D006,2026-02-07,Lume,PIX,100860.85
D006,2026-02-07,Serra,Financiamento,136399.30
D006,2026-02-02,Brisa,Financiamento,141189.11
D006,2026-02-05,Brisa,Financiamento,128155.94
D006,2026-02-03,Lume,Financiamento,103364.47
D006,2026-02-07,Lume,Financiamento,104783.67
D006,2026-02-07,Serra,Consórcio,132788.50
D006,2026-02-03,Lume,PIX,96272.65
D006,2026-02-02,Brisa,Financiamento,147900.01
D006,2026-02-05,Touro,Financiamento,226653.77
D006,2026-02-06,Atlas,Cartão Crédito,219408.00
D006,2026-02-08,Lume,Financiamento,108924.86
D006,2026-02-07,Serra,Cartão Crédito,139443.75
D006,2026-02-07,Serra,Consórcio,145758.24
D006,2026-02-03,Lume,Financiamento,106479.16
D006,2026-02-05,Brisa,Financiamento,143581.44
D006,2026-02-06,Brisa,Cartão Crédito,138373.55
D006,2026-02-03,Atlas,Financiamento,234650.92
D006,2026-02-04,Lume,Financiamento,105320.09
D006,2026-02-04,Atlas,Financiamento,221126.89
D006,2026-02-02,Touro,Financiamento,223301.92
D006,2026-02-04,Serra,Financiamento,151464.13
D006,2026-02-08,Serra,PIX,145624.38
D006,2026-02-06,Lume,PIX,90071.48
D006,2026-02-06,Serra,Financiamento,148619.29
D006,2026-02-08,Serra,Financiamento,141158.13
D006,2026-02-02,Brisa,Financiamento,138968.91
D006,2026-02-08,Eon,Financiamento,218304.72
D006,2026-02-03,Lume,Consórcio,99492.30
D006,2026-02-07,Serra,Consórcio,135702.46
D006,2026-02-03,Lume,Financiamento,92582.81
D006,2026-02-08,Brisa,Financiamento,139986.54
D006,2026-02-07,Brisa,Financiamento,136645.35
D006,2026-02-08,Serra,Financiamento,151447.52
D006,2026-02-05,Brisa,Financiamento,144757.02
D006,2026-02-05,Eon,Cartão Crédito,204389.66
D006,2026-02-04,Serra,Financiamento,151320.38
D006,2026-02-03,Brisa,TED,134608.22
D006,2026-02-03,Lume,Financiamento,103848.96
D006,2026-02-03,Brisa,Financiamento,129026.08
D006,2026-02-05,Lume,PIX,103017.34
D006,2026-02-02,Lume,Financiamento,93991.75
D006,2026-02-06,Lume,TED,101844.95
D006,2026-02-05,Serra,Financiamento,134384.63
D006,2026-02-07,Atlas,Consórcio,224285.84
D006,2026-02-05,Touro,TED,233887.35
D006,2026-02-08,Serra,Financiamento,151635.59
D006,2026-02-03,Serra,Financiamento,148073.15
D006,2026-02-03,Brisa,PIX,120053.64
D006,2026-02-06,Serra,Financiamento,153349.64
D006,2026-02-06,Serra,Consórcio,148442.89
D006,2026-02-02,Serra,PIX,142107.04
D006,2026-02-08,Serra,Financiamento,145756.66
D006,2026-02-07,Serra,TED,146684.59
D006,2026-02-05,Brisa,Financiamento,145094.29
D006,2026-02-06,Lume,PIX,96775.17
D006,2026-02-08,Lume,Financiamento,100952.52
D006,2026-02-02,Serra,Financiamento,153187.19
D006,2026-02-02,Brisa,TED,138964.85
D006,2026-02-02,Lume,Financiamento,94822.91
D006,2026-02-05,Serra,Financiamento,165081.83
D006,2026-02-03,Brisa,Financiamento,138623.32
D006,2026-02-06,Serra,Consórcio,149140.07
D006,2026-02-05,Serra,Financiamento,150891.20
D006,2026-02-05,Atlas,Consórcio,222097.73
D006,2026-02-08,Brisa,Financiamento,140449.56
D006,2026-02-03,Brisa,Financiamento,142141.71
D006,2026-02-05,Touro,Financiamento,221953.36
D006,2026-02-02,Serra,Financiamento,160854.41
D006,2026-02-07,Serra,Financiamento,148451.64
D006,2026-02-08,Lume,Financiamento,88554.15
D006,2026-02-08,Serra,TED,148877.24
D006,2026-02-07,Lume,TED,88949.86
D006,2026-02-02,Eon,PIX,199739.21
D006,2026-02-07,Brisa,Financiamento,137112.04
